episode,reward,epsilon,lr_per_ep
599,37.0,0.8003333333333333,5e-05
600,46.0,0.8,5e-05
601,32.0,0.7996666666666666,5e-05
602,57.0,0.7993333333333333,5e-05
603,22.0,0.7989999999999999,5e-05
604,24.0,0.7986666666666666,5e-05
605,27.0,0.7983333333333333,5e-05
606,15.0,0.798,5e-05
607,23.0,0.7976666666666666,5e-05
608,13.0,0.7973333333333333,5e-05
609,17.0,0.7969999999999999,5e-05
610,10.0,0.7966666666666666,5e-05
611,21.0,0.7963333333333333,5e-05
612,18.0,0.796,5e-05
613,35.0,0.7956666666666666,5e-05
614,29.0,0.7953333333333333,5e-05
615,15.0,0.795,5e-05
616,35.0,0.7946666666666666,5e-05
617,20.0,0.7943333333333333,5e-05
618,12.0,0.794,5e-05
619,128.0,0.7936666666666666,5e-05
620,61.0,0.7933333333333333,5e-05
621,53.0,0.793,5e-05
622,22.0,0.7926666666666666,5e-05
623,21.0,0.7923333333333333,5e-05
624,135.0,0.792,5e-05
625,35.0,0.7916666666666666,5e-05
626,35.0,0.7913333333333333,5e-05
627,25.0,0.791,5e-05
628,103.0,0.7906666666666666,5e-05
629,85.0,0.7903333333333333,5e-05
630,47.0,0.79,5e-05
631,57.0,0.7896666666666666,5e-05
632,15.0,0.7893333333333333,5e-05
633,49.0,0.789,5e-05
634,19.0,0.7886666666666666,5e-05
635,39.0,0.7883333333333333,5e-05
636,14.0,0.788,5e-05
637,103.0,0.7876666666666666,5e-05
638,37.0,0.7873333333333333,5e-05
639,55.0,0.787,5e-05
640,19.0,0.7866666666666666,5e-05
641,47.0,0.7863333333333333,5e-05
642,21.0,0.786,5e-05
643,64.0,0.7856666666666667,5e-05
644,8.0,0.7853333333333333,5e-05
645,22.0,0.785,5e-05
646,29.0,0.7846666666666666,5e-05
647,19.0,0.7843333333333333,5e-05
648,32.0,0.784,5e-05
649,43.0,0.7836666666666667,5e-05
650,15.0,0.7833333333333333,5e-05
651,24.0,0.783,5e-05
652,13.0,0.7826666666666666,5e-05
653,23.0,0.7823333333333333,5e-05
654,48.0,0.782,5e-05
655,35.0,0.7816666666666667,5e-05
656,70.0,0.7813333333333333,5e-05
657,100.0,0.781,5e-05
658,14.0,0.7806666666666666,5e-05
659,16.0,0.7803333333333333,5e-05
660,15.0,0.78,5e-05
661,21.0,0.7796666666666667,5e-05
662,86.0,0.7793333333333333,5e-05
663,82.0,0.779,5e-05
664,141.0,0.7786666666666666,5e-05
665,16.0,0.7783333333333333,5e-05
666,22.0,0.778,5e-05
667,30.0,0.7776666666666667,5e-05
668,71.0,0.7773333333333333,5e-05
669,93.0,0.777,5e-05
670,50.0,0.7766666666666666,5e-05
671,27.0,0.7763333333333333,5e-05
672,106.0,0.776,5e-05
673,13.0,0.7756666666666667,5e-05
674,19.0,0.7753333333333333,5e-05
675,57.0,0.775,5e-05
676,25.0,0.7746666666666666,5e-05
677,29.0,0.7743333333333333,5e-05
678,24.0,0.774,5e-05
679,142.0,0.7736666666666667,5e-05
680,57.0,0.7733333333333333,5e-05
681,32.0,0.773,5e-05
682,22.0,0.7726666666666666,5e-05
683,55.0,0.7723333333333333,5e-05
684,82.0,0.772,5e-05
685,18.0,0.7716666666666667,5e-05
686,46.0,0.7713333333333333,5e-05
687,21.0,0.771,5e-05
688,46.0,0.7706666666666666,5e-05
689,17.0,0.7703333333333333,5e-05
690,34.0,0.77,5e-05
691,37.0,0.7696666666666667,5e-05
692,15.0,0.7693333333333333,5e-05
693,28.0,0.769,5e-05
694,23.0,0.7686666666666666,5e-05
695,22.0,0.7683333333333333,5e-05
696,9.0,0.768,5e-05
697,31.0,0.7676666666666667,5e-05
698,19.0,0.7673333333333333,5e-05
699,56.0,0.767,5e-05
700,38.0,0.7666666666666666,5e-05
701,43.0,0.7663333333333333,5e-05
702,21.0,0.766,5e-05
703,22.0,0.7656666666666667,5e-05
704,20.0,0.7653333333333333,5e-05
705,16.0,0.765,5e-05
706,48.0,0.7646666666666666,5e-05
707,15.0,0.7643333333333333,5e-05
708,11.0,0.764,5e-05
709,126.0,0.7636666666666667,5e-05
710,36.0,0.7633333333333333,5e-05
711,18.0,0.763,5e-05
712,63.0,0.7626666666666666,5e-05
713,24.0,0.7623333333333333,5e-05
714,17.0,0.762,5e-05
715,14.0,0.7616666666666667,5e-05
716,68.0,0.7613333333333333,5e-05
717,54.0,0.761,5e-05
718,20.0,0.7606666666666666,5e-05
719,66.0,0.7603333333333333,5e-05
720,28.0,0.76,5e-05
721,55.0,0.7596666666666667,5e-05
722,19.0,0.7593333333333333,5e-05
723,25.0,0.759,5e-05
724,54.0,0.7586666666666666,5e-05
725,31.0,0.7583333333333333,5e-05
726,14.0,0.758,5e-05
727,49.0,0.7576666666666667,5e-05
728,31.0,0.7573333333333333,5e-05
729,40.0,0.757,5e-05
730,9.0,0.7566666666666666,5e-05
731,14.0,0.7563333333333333,5e-05
732,13.0,0.756,5e-05
733,27.0,0.7556666666666667,5e-05
734,25.0,0.7553333333333333,5e-05
735,15.0,0.755,5e-05
736,66.0,0.7546666666666667,5e-05
737,28.0,0.7543333333333333,5e-05
738,39.0,0.754,5e-05
739,29.0,0.7536666666666667,5e-05
740,24.0,0.7533333333333333,5e-05
741,96.0,0.753,5e-05
742,23.0,0.7526666666666667,5e-05
743,90.0,0.7523333333333333,5e-05
744,23.0,0.752,5e-05
745,25.0,0.7516666666666667,5e-05
746,25.0,0.7513333333333333,5e-05
747,9.0,0.751,5e-05
748,30.0,0.7506666666666667,5e-05
749,35.0,0.7503333333333333,5e-05
750,10.0,0.75,5e-05
751,25.0,0.7496666666666667,5e-05
752,70.0,0.7493333333333334,5e-05
